Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR2979340,2016-07-22 17:04:23,2016-01-22 20:28:28,6350865,323894115,0,51,186,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-8/SRR2979340/SRR2979340.1,SRX1468930,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP067036,PRJNA305280,2,305280,SRS1193687,SAMN04323035,simple,9606,Homo sapiens,GSM1966648,,,,,,,no,,,,,GEO,SRA315327,,public,978F693DE0E92985D6D10C58CC3A7D87,3E7F21CDA7DB6AC367D644F7271361E7
SRR2979341,2016-07-22 17:04:23,2016-01-22 20:28:20,5699210,290659710,0,51,168,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-8/SRR2979341/SRR2979341.1,SRX1468931,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP067036,PRJNA305280,2,305280,SRS1193686,SAMN04323036,simple,9606,Homo sapiens,GSM1966649,,,,,,,no,,,,,GEO,SRA315327,,public,8C5906B5341314B6CB38FECF4834C80A,576BD481DC6243EBD64C6788205E8F34
SRR2979342,2016-07-22 17:04:23,2016-01-22 20:27:01,5523089,281677539,0,51,162,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR2979342/SRR2979342.1,SRX1468932,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP067036,PRJNA305280,2,305280,SRS1193684,SAMN04323037,simple,9606,Homo sapiens,GSM1966650,,,,,,,no,,,,,GEO,SRA315327,,public,CD75B7B2C88AD7E4BFF272CBF97C5516,3D8178DD45E3A44A72A3CD0F9BE6A5E8
SRR2979343,2016-07-22 17:04:23,2016-01-22 20:27:53,13967205,712327455,0,51,405,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-8/SRR2979343/SRR2979343.1,SRX1468933,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP067036,PRJNA305280,2,305280,SRS1193685,SAMN04323038,simple,9606,Homo sapiens,GSM1966651,,,,,,,no,,,,,GEO,SRA315327,,public,764F78AD0303E3FF441226B9AB4B946D,F5DB3DF09A5817B516504CAD3B9A9880
SRR2979344,2016-07-22 17:04:23,2016-01-22 20:27:55,6615532,337392132,0,51,191,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-8/SRR2979344/SRR2979344.1,SRX1468934,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP067036,PRJNA305280,2,305280,SRS1193683,SAMN04323039,simple,9606,Homo sapiens,GSM1966652,,,,,,,no,,,,,GEO,SRA315327,,public,80C47F5DBEB664FEEB550804B74400F4,3361B39EB98C917FC3158A3B80833B8B
SRR2979345,2016-07-22 17:04:23,2016-01-22 20:27:07,7600166,387608466,0,51,215,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR2979345/SRR2979345.1,SRX1468935,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP067036,PRJNA305280,2,305280,SRS1193682,SAMN04323040,simple,9606,Homo sapiens,GSM1966653,,,,,,,no,,,,,GEO,SRA315327,,public,D114566A3B676AA12129B6FD3D5BFFED,155F143A2E07D9C3EF3354F6D580AA21
SRR2979346,2016-07-22 17:04:23,2016-01-22 20:27:06,8079630,412061130,0,51,237,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR2979346/SRR2979346.1,SRX1468936,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP067036,PRJNA305280,2,305280,SRS1193681,SAMN04323041,simple,9606,Homo sapiens,GSM1966654,,,,,,,no,,,,,GEO,SRA315327,,public,728079F3232E7F2D7F164CA650E71DD3,603E15D2F2477C14D1C295991965D9E9
SRR2979347,2016-07-22 17:04:23,2016-01-22 20:26:50,8041198,410101098,0,51,229,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-8/SRR2979347/SRR2979347.1,SRX1468937,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP067036,PRJNA305280,2,305280,SRS1193680,SAMN04323042,simple,9606,Homo sapiens,GSM1966655,,,,,,,no,,,,,GEO,SRA315327,,public,6B194DF2E9B20AA2A677D4E4DC352F59,7021F5EF21D9050ADA876C08A84D4120
SRR2979348,2016-07-22 17:04:23,2016-01-22 20:26:44,6345464,323618664,0,51,180,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR2979348/SRR2979348.1,SRX1468938,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP067036,PRJNA305280,2,305280,SRS1193679,SAMN04323043,simple,9606,Homo sapiens,GSM1966656,,,,,,,no,,,,,GEO,SRA315327,,public,01A7AE24503AB0FC0E0306427C754434,841AD4E0F1B3535476A6F2DE6C71587B
SRR2979349,2016-07-22 17:04:23,2016-01-22 20:26:42,6666240,339978240,0,51,191,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-8/SRR2979349/SRR2979349.1,SRX1468939,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP067036,PRJNA305280,2,305280,SRS1193678,SAMN04323044,simple,9606,Homo sapiens,GSM1966657,,,,,,,no,,,,,GEO,SRA315327,,public,CD4127C8FB2D01D113C88F5F68996FD8,110A57D8E4A865F23A3226FE2E431BC8
SRR2979350,2016-07-22 17:04:23,2016-01-22 20:26:32,5790519,295316469,0,51,168,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-8/SRR2979350/SRR2979350.1,SRX1468940,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP067036,PRJNA305280,2,305280,SRS1193676,SAMN04323045,simple,9606,Homo sapiens,GSM1966658,,,,,,,no,,,,,GEO,SRA315327,,public,252AB9B0EC320C4D1A24398D126EE296,214EDFAFA0960821D8EB3E2E815AAF0C
SRR2979351,2016-07-22 17:04:23,2016-01-22 20:26:53,9356863,477200013,0,51,272,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-8/SRR2979351/SRR2979351.1,SRX1468941,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP067036,PRJNA305280,2,305280,SRS1193677,SAMN04323046,simple,9606,Homo sapiens,GSM1966659,,,,,,,no,,,,,GEO,SRA315327,,public,489F30F9DCAF3F58A8688F009FB681F4,F8A58408F65AA30FA96C184F4A17B7DD
SRR2979352,2016-07-22 17:04:23,2016-01-22 20:26:35,6124779,312363729,0,51,180,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR2979352/SRR2979352.1,SRX1468942,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP067036,PRJNA305280,2,305280,SRS1193675,SAMN04323047,simple,9606,Homo sapiens,GSM1966660,,,,,,,no,,,,,GEO,SRA315327,,public,21BCC058E196A3F97BBD8D449115D939,20F4AFC7A319187D31C9977E482D22DD
SRR2979353,2016-07-22 17:04:23,2016-01-22 20:26:54,7686566,392014866,0,51,224,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR2979353/SRR2979353.1,SRX1468943,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP067036,PRJNA305280,2,305280,SRS1193674,SAMN04323048,simple,9606,Homo sapiens,GSM1966661,,,,,,,no,,,,,GEO,SRA315327,,public,38D30B4C614ECCC573F63A627874E3BD,9DB13B4F1EC45FCF970CB37731B7AE5C
SRR2979354,2016-07-22 17:04:23,2016-01-22 20:27:19,10432857,532075707,0,51,304,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-8/SRR2979354/SRR2979354.1,SRX1468944,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP067036,PRJNA305280,2,305280,SRS1193672,SAMN04323049,simple,9606,Homo sapiens,GSM1966662,,,,,,,no,,,,,GEO,SRA315327,,public,F744E90AEC06EB0A0F26001979FB4A0F,279583F9E21F5EAC0E51856426326FA2
SRR2979355,2016-07-22 17:04:23,2016-01-22 20:27:12,8345562,425623662,0,51,240,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR2979355/SRR2979355.1,SRX1468945,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP067036,PRJNA305280,2,305280,SRS1193671,SAMN04323050,simple,9606,Homo sapiens,GSM1966663,,,,,,,no,,,,,GEO,SRA315327,,public,F3790558B083CAF15D82EF19AD280922,F5D8029EE45DD4B553DC2AF61CBBE837
SRR2979356,2016-07-22 17:04:23,2016-01-22 20:26:27,6807134,347163834,0,51,239,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-8/SRR2979356/SRR2979356.1,SRX1468946,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP067036,PRJNA305280,2,305280,SRS1193673,SAMN04323051,simple,9606,Homo sapiens,GSM1966664,,,,,,,no,,,,,GEO,SRA315327,,public,714600FA5683700DFF66A8DBDA08784C,5F3F9C30F897892AE781B9BF585448E1
SRR2979357,2016-07-22 17:04:23,2016-01-22 20:26:19,5072808,258713208,0,51,186,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-8/SRR2979357/SRR2979357.1,SRX1468947,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP067036,PRJNA305280,2,305280,SRS1193670,SAMN04323052,simple,9606,Homo sapiens,GSM1966665,,,,,,,no,,,,,GEO,SRA315327,,public,96C3BD692D525A586E32FC232C0216C3,E208DFD55337E91B63736E4B6CC36841
