"Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","Library Name","Library Strategy","Library Source","Library Selection"
"SRX1469030","GSM1966747: single cell H1 hESC cell [H1_Exp3.291]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193583","","304.28","1","9631414","491202114","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1469029","GSM1966746: single cell H1 hESC cell [H1_Exp3.290]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193586","","172.89","1","5817516","296693316","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1469028","GSM1966745: single cell H1 hESC cell [H1_Exp3.289]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193584","","262.51","1","9025881","460319931","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1469027","GSM1966744: single cell H1 hESC cell [H1_Exp3.288]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193585","","427.25","1","14212121","724818171","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1469026","GSM1966743: single cell H1 hESC cell [H1_Exp3.287]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193589","","388.15","1","12849566","655327866","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1469025","GSM1966742: single cell H1 hESC cell [H1_Exp3.286]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193590","","342.06","1","11281966","575380266","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1469024","GSM1966741: single cell H1 hESC cell [H1_Exp3.285]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193592","","242.06","1","8226222","419537322","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1469023","GSM1966740: single cell H1 hESC cell [H1_Exp3.284]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193591","","226.77","1","7658563","390586713","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1469022","GSM1966739: single cell H1 hESC cell [H1_Exp3.283]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193593","","276.48","1","9414127","480120477","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1469021","GSM1966738: single cell H1 hESC cell [H1_Exp3.282]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193594","","365.22","1","11512088","587116488","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
